"","coef"
"Intercept",-2.6
"log age",0.15
"log size",-0.03
"log devs",0.21
"log commits",1.02
"C",0.08
"C++",-0.38
"Clojure",-0.1
"Coffeescript",0.01
"Erlang",0.14
"Go",0.28
"Haskell",-0.13
"Java",0.04
"Javascript",-0.06
"Objective-C",0.02
"Perl",0.03
"Php",0.14
"Python",-0.04
"Ruby",-0.12
"Scala",0.11
"Typescript",-0.03
