"","coef","pVal"
"Intercept",-2.35,0
"log age",0.06,0
"log size",-0.02,0.185
"log devs",0.14,0
"log commits",1.04,0
"C",0.2,0.052
"C#",0.04,0.722
"C++",0.03,0.772
"Clojure",-0.53,0
"Coffeescript",0.11,0.282
"Erlang",0.12,0.261
"Go",0.12,0.248
"Haskell",-0.07,0.513
"Java",0,0.99
"Javascript",-0.07,0.508
"Objective-C",-0.11,0.302
"Perl",0.1,0.347
"Php",-0.11,0.288
"Python",0,0.998
"Ruby",0.02,0.87
"Scala",-0.08,0.443
"Typescript",0.24,0.022
