"","coef","pVal"
"Intercept",-2.36,0
"log age",0.09,0
"log size",-0.03,0.04
"log devs",0.13,0
"log commits",1.04,0
"C",0.27,0.004
"C#",0.13,0.191
"C++",0.17,0.077
"Clojure",-0.2,0.052
"Coffeescript",0.1,0.322
"Erlang",0.2,0.038
"Go",-0.01,0.924
"Haskell",-0.26,0.01
"Java",-0.18,0.077
"Javascript",-0.05,0.644
"Objective-C",-0.09,0.411
"Perl",0.13,0.174
"Php",0.05,0.617
"Python",-0.07,0.455
"Ruby",-0.14,0.157
"Scala",-0.1,0.338
"Typescript",0.04,0.669
