"","coef","pVal"
"Intercept",-2.67,0
"log age",0.12,0
"log size",-0.02,0.153
"log devs",0.1,0.004
"log commits",1.05,0
"C",0.15,0.139
"C#",-0.05,0.658
"C++",0.19,0.05
"Clojure",-0.18,0.088
"Coffeescript",0.02,0.851
"Erlang",0.05,0.617
"Go",0.12,0.244
"Haskell",-0.39,0
"Java",-0.05,0.627
"Javascript",0.1,0.376
"Objective-C",0,0.965
"Perl",-0.06,0.583
"Php",0.04,0.68
"Python",0.09,0.355
"Ruby",-0.08,0.46
"Scala",-0.07,0.479
"Typescript",0.1,0.346
