"","coef"
"Intercept",-2.32
"log age",0.11
"log size",-0.04
"log devs",0.23
"log commits",1.02
"C",0
"C++",-0.07
"Clojure",0
"Coffeescript",0.43
"Erlang",0.02
"Go",0.17
"Haskell",-0.2
"Java",-0.12
"Javascript",-0.1
"Objective-C",-0.2
"Perl",0.03
"Php",0.15
"Python",0.07
"Ruby",-0.2
"Scala",-0.03
"Typescript",0.04
