"","coef","pVal"
"Intercept",-2.69,0
"log age",0.1,0
"log size",0.01,0.36
"log devs",0.14,0
"log commits",1.01,0
"C",-0.01,0.942
"C#",-0.13,0.215
"C++",0.13,0.19
"Clojure",-0.22,0.036
"Coffeescript",0.03,0.788
"Erlang",0.2,0.045
"Go",0.14,0.173
"Haskell",-0.14,0.16
"Java",0.07,0.465
"Javascript",0,0.965
"Objective-C",-0.3,0.005
"Perl",-0.07,0.471
"Php",0.05,0.637
"Python",0.09,0.388
"Ruby",-0.03,0.77
"Scala",-0.02,0.87
"Typescript",0.22,0.026
