"","coef","pVal"
"Intercept",-2.6,0
"log age",0.08,0
"log size",-0.01,0.406
"log devs",0.14,0
"log commits",1.07,0
"C",0.13,0.212
"C#",-0.05,0.605
"C++",-0.07,0.495
"Clojure",-0.36,0.001
"Coffeescript",0.08,0.462
"Erlang",0.11,0.304
"Go",0.2,0.053
"Haskell",-0.27,0.012
"Java",-0.02,0.813
"Javascript",0.05,0.66
"Objective-C",-0.08,0.425
"Perl",0.05,0.604
"Php",-0.03,0.754
"Python",0.16,0.118
"Ruby",-0.1,0.343
"Scala",-0.22,0.038
"Typescript",0.45,0
