"","coef"
"Intercept",-2.93
"log age",0.19
"log size",-0.02
"log devs",0.12
"log commits",1.07
"C",0.19
"C++",0.14
"Clojure",-0.14
"Coffeescript",-0.07
"Erlang",0.15
"Go",0.08
"Haskell",0
"Java",-0.19
"Javascript",-0.06
"Objective-C",0.06
"Perl",0.01
"Php",0.05
"Python",0.1
"Ruby",-0.07
"Scala",-0.29
"Typescript",0.06
