"","coef"
"Intercept",-2.41
"log age",0.12
"log size",-0.04
"log devs",0.18
"log commits",1.06
"C",0.28
"C++",0.13
"Clojure",-0.28
"Coffeescript",0.02
"Erlang",-0.02
"Go",0
"Haskell",-0.16
"Java",-0.11
"Javascript",0.22
"Objective-C",0.23
"Perl",0.02
"Php",0.06
"Python",0.1
"Ruby",-0.41
"Scala",-0.21
"Typescript",0.13
