"","coef","pVal"
"Intercept",-2.36,0
"log age",0.07,0
"log size",-0.03,0.018
"log devs",0.14,0
"log commits",1.07,0
"C",0.21,0.04
"C#",-0.1,0.323
"C++",0.12,0.225
"Clojure",-0.23,0.033
"Coffeescript",0.22,0.027
"Erlang",0.04,0.721
"Go",0.02,0.844
"Haskell",-0.32,0.003
"Java",-0.03,0.774
"Javascript",0.06,0.575
"Objective-C",-0.2,0.071
"Perl",-0.03,0.756
"Php",0.1,0.329
"Python",0.22,0.033
"Ruby",-0.08,0.458
"Scala",-0.18,0.088
"Typescript",0.19,0.072
