"","coef"
"Intercept",-2.47
"log age",0.15
"log size",-0.04
"log devs",0.13
"log commits",1.05
"C",0.21
"C++",-0.11
"Clojure",-0.15
"Coffeescript",0.26
"Erlang",0.12
"Go",0.13
"Haskell",-0.13
"Java",-0.09
"Javascript",-0.03
"Objective-C",0.01
"Perl",-0.18
"Php",0.34
"Python",0.04
"Ruby",-0.18
"Scala",-0.24
"Typescript",0.02
