"","coef"
"Intercept",-2.53
"log age",0.1
"log size",0.01
"log devs",0.04
"log commits",1.04
"C",0.26
"C++",0.17
"Clojure",-0.36
"Coffeescript",-0.01
"Erlang",0.03
"Go",0.1
"Haskell",-0.13
"Java",0.12
"Javascript",-0.01
"Objective-C",0.03
"Perl",0.09
"Php",0.09
"Python",-0.01
"Ruby",0
"Scala",-0.14
"Typescript",-0.21
