"","coef","pVal"
"Intercept",-2.48,0
"log age",0.09,0
"log size",-0.01,0.298
"log devs",0.1,0.006
"log commits",1.07,0
"C",0.15,0.105
"C#",0.19,0.045
"C++",0.14,0.186
"Clojure",-0.29,0.006
"Coffeescript",0.21,0.06
"Erlang",0.04,0.702
"Go",0.01,0.941
"Haskell",-0.31,0.001
"Java",-0.09,0.357
"Javascript",-0.2,0.148
"Objective-C",0.28,0.004
"Perl",0.16,0.122
"Php",0.03,0.823
"Python",0.04,0.73
"Ruby",-0.1,0.4
"Scala",-0.25,0.008
"Typescript",-0.01,0.942
