"","coef"
"Intercept",-2.72
"log age",0.09
"log size",0.02
"log devs",0.08
"log commits",1.03
"C",-0.02
"C++",0.09
"Clojure",-0.13
"Coffeescript",-0.04
"Erlang",0.26
"Go",0.22
"Haskell",-0.26
"Java",0.08
"Javascript",-0.22
"Objective-C",-0.12
"Perl",0.06
"Php",0.26
"Python",0.24
"Ruby",0.13
"Scala",-0.15
"Typescript",-0.41
