"","coef","pVal"
"Intercept",-2.27,0
"log age",0.07,0
"log size",-0.03,0.052
"log devs",0.12,0.002
"log commits",1.07,0
"C",0.11,0.284
"C#",0.15,0.199
"C++",0.14,0.175
"Clojure",-0.27,0.016
"Coffeescript",0.17,0.177
"Erlang",0.11,0.309
"Go",-0.1,0.423
"Haskell",-0.29,0.005
"Java",-0.07,0.543
"Javascript",0.24,0.064
"Objective-C",0.02,0.821
"Perl",0.18,0.088
"Php",0.26,0.018
"Python",-0.01,0.913
"Ruby",-0.31,0.025
"Scala",-0.24,0.022
"Typescript",-0.09,0.433
