"","coef","pVal"
"Intercept",-2.15,0
"log age",0.06,0.003
"log size",-0.03,0.069
"log devs",0.12,0.002
"log commits",1.07,0
"C",0.09,0.388
"C#",-0.06,0.584
"C++",0.3,0.003
"Clojure",-0.36,0.001
"Coffeescript",-0.03,0.812
"Erlang",0.01,0.925
"Go",0.07,0.51
"Haskell",-0.27,0.017
"Java",0.05,0.641
"Javascript",0.1,0.393
"Objective-C",0.19,0.101
"Perl",0.21,0.058
"Php",0.03,0.798
"Python",0.27,0.017
"Ruby",-0.2,0.175
"Scala",-0.3,0.007
"Typescript",-0.12,0.326
