"","coef"
"Intercept",-2.39
"log age",0.08
"log size",0.01
"log devs",0.09
"log commits",1
"C",0.18
"C++",0.18
"Clojure",-0.37
"Coffeescript",-0.05
"Erlang",0.2
"Go",0.08
"Haskell",-0.19
"Java",0.06
"Javascript",-0.04
"Objective-C",-0.1
"Perl",0.2
"Php",0.32
"Python",0.12
"Ruby",-0.05
"Scala",-0.27
"Typescript",-0.26
