"","coef"
"Intercept",-2.52
"log age",0.1
"log size",0.01
"log devs",0.07
"log commits",1
"C",0.16
"C++",0.15
"Clojure",-0.29
"Coffeescript",0.03
"Erlang",0.12
"Go",-0.01
"Haskell",-0.22
"Java",-0.01
"Javascript",-0.1
"Objective-C",0.26
"Perl",0.08
"Php",0.09
"Python",0.18
"Ruby",-0.2
"Scala",-0.04
"Typescript",-0.2
