"","coef"
"Intercept",-2.59
"log age",0.07
"log size",0.03
"log devs",0.04
"log commits",1.03
"C",0.18
"C++",0.12
"Clojure",-0.33
"Coffeescript",-0.16
"Erlang",0.17
"Go",0.11
"Haskell",-0.34
"Java",-0.2
"Javascript",-0.2
"Objective-C",0.15
"Perl",0.2
"Php",0.23
"Python",0.22
"Ruby",0.06
"Scala",-0.03
"Typescript",-0.2
