"","coef","pVal"
"Intercept",-2.45,0
"log age",0.09,0
"log size",-0.02,0.265
"log devs",0,0.941
"log commits",1.09,0
"C",0.11,0.186
"C#",0.11,0.221
"C++",0.2,0.015
"Clojure",-0.52,0
"Coffeescript",-0.11,0.278
"Erlang",0.17,0.062
"Go",0.14,0.125
"Haskell",-0.2,0.026
"Java",0.14,0.134
"Javascript",0.06,0.598
"Objective-C",0.08,0.413
"Perl",-0.08,0.38
"Php",0.12,0.182
"Python",0.03,0.814
"Ruby",-0.25,0.025
"Scala",-0.06,0.603
"Typescript",0.07,0.548
