"","coef","pVal"
"Intercept",-2.42,0
"log age",0.12,0
"log size",-0.05,0.003
"log devs",0.07,0.076
"log commits",1.1,0
"C",0.22,0.035
"C#",-0.03,0.765
"C++",-0.03,0.821
"Clojure",-0.3,0.004
"Coffeescript",0.19,0.063
"Erlang",0.27,0.013
"Go",0.08,0.49
"Haskell",-0.24,0.019
"Java",0.06,0.61
"Javascript",-0.36,0.022
"Objective-C",0.24,0.028
"Perl",-0.12,0.286
"Php",0.11,0.337
"Python",0.16,0.175
"Ruby",0.05,0.675
"Scala",-0.22,0.056
"Typescript",-0.09,0.482
