"","coef"
"Intercept",-2.1
"log age",0.03
"log size",0
"log devs",0.11
"log commits",1.02
"C",0.25
"C++",0.24
"Clojure",-0.45
"Coffeescript",-0.06
"Erlang",0.13
"Go",0.1
"Haskell",-0.08
"Java",-0.07
"Javascript",0.06
"Objective-C",0.07
"Perl",0.05
"Php",0.19
"Python",0.18
"Ruby",-0.18
"Scala",-0.18
"Typescript",-0.25
