"","coef","pVal"
"Intercept",-2.4,0
"log age",0.11,0
"log size",-0.03,0.07
"log devs",0.11,0.002
"log commits",1.04,0
"C",0.27,0.005
"C#",0.2,0.083
"C++",0.15,0.11
"Clojure",-0.36,0.002
"Coffeescript",-0.08,0.479
"Erlang",0.3,0.005
"Go",0.16,0.177
"Haskell",-0.24,0.027
"Java",-0.09,0.447
"Javascript",0.04,0.733
"Objective-C",0.21,0.053
"Perl",0.1,0.426
"Php",0.08,0.44
"Python",-0.02,0.846
"Ruby",-0.33,0.01
"Scala",-0.42,0
"Typescript",0.05,0.69
