"","coef","pVal"
"Intercept",-2.31,0
"log age",0.12,0
"log size",-0.03,0.012
"log devs",0.07,0.037
"log commits",1.04,0
"C",0.11,0.265
"C#",0.08,0.425
"C++",0.28,0.001
"Clojure",-0.31,0.003
"Coffeescript",-0.1,0.368
"Erlang",0.03,0.756
"Go",0.15,0.128
"Haskell",-0.3,0.005
"Java",0.18,0.083
"Javascript",0.12,0.309
"Objective-C",0.24,0.019
"Perl",-0.15,0.125
"Php",0.01,0.936
"Python",0.15,0.144
"Ruby",-0.17,0.149
"Scala",-0.24,0.02
"Typescript",-0.08,0.463
