"","coef","pVal"
"Intercept",-2.28,0
"log age",0.09,0
"log size",-0.05,0.001
"log devs",0.07,0.03
"log commits",1.1,0
"C",0.22,0.021
"C#",-0.05,0.655
"C++",0.21,0.026
"Clojure",-0.32,0.004
"Coffeescript",0.04,0.7
"Erlang",0.2,0.066
"Go",0.11,0.277
"Haskell",-0.42,0
"Java",-0.11,0.322
"Javascript",0.01,0.915
"Objective-C",0.14,0.186
"Perl",-0.03,0.808
"Php",0.18,0.063
"Python",0.11,0.365
"Ruby",0,0.968
"Scala",-0.26,0.019
"Typescript",-0.05,0.61
