"","coef"
"Intercept",-2.4
"log age",0.08
"log size",0.01
"log devs",0.09
"log commits",1.01
"C",0.21
"C++",0.14
"Clojure",-0.29
"Coffeescript",0.01
"Erlang",0.01
"Go",0.2
"Haskell",-0.23
"Java",0.1
"Javascript",-0.01
"Objective-C",0.03
"Perl",0.15
"Php",0.36
"Python",-0.04
"Ruby",-0.1
"Scala",-0.27
"Typescript",-0.26
