"","coef"
"Intercept",-2.52
"log age",0.12
"log size",0.01
"log devs",0.09
"log commits",0.96
"C",0.34
"C++",0.22
"Clojure",-0.42
"Coffeescript",0.06
"Erlang",0.13
"Go",0.06
"Haskell",-0.18
"Java",-0.03
"Javascript",-0.12
"Objective-C",0.04
"Perl",0.11
"Php",0.04
"Python",0.26
"Ruby",-0.28
"Scala",-0.02
"Typescript",-0.2
