"","coef","pVal"
"Intercept",-2.93,0
"log age",0.19,0
"log devs",0.16,0
"log commits",1.04,0
"C",0.01,0.82
"C#",-0.03,0.608
"C++",0.07,0.1
"Clojure",-0.19,0.008
"Coffeescript",-0.09,0.146
"Erlang",-0.06,0.432
"Go",0.06,0.351
"Haskell",-0.48,0
"Java",-0.01,0.807
"Javascript",0.02,0.299
"Objective-C",0.08,0.137
"Perl",0.02,0.648
"Php",-0.09,0.079
"Python",0.06,0.03
"Ruby",-0.08,0.071
"Scala",-0.22,0.001
"Typescript",0.23,0
