"","coef","pVal"
"Intercept",-1.08,0.017
"log age",-0.03,0.502
"log devs",0.41,0
"log commits",1.07,0
"C",-0.05,0.868
"C#",-0.19,0.65
"C++",0.24,0.368
"Clojure",0.44,0.023
"Coffeescript",-0.44,0.078
"Erlang",0.37,0.315
"Go",0.3,0.208
"Haskell",0.1,0.603
"Java",-0.01,0.981
"Javascript",-0.22,0.094
"Objective-C",-0.6,0.121
"Perl",-0.01,0.969
"Php",-0.81,0.125
"Python",-0.14,0.356
"Ruby",-0.01,0.952
"Scala",0.84,0.001
"Typescript",-0.06,0.803
