"","coef","pVal"
"Intercept",-2.96,0
"log age",0.18,0
"log devs",0.14,0
"log commits",1.04,0
"C",-0.02,0.532
"C#",0.06,0.357
"C++",0.08,0.055
"Clojure",-0.2,0.007
"Coffeescript",-0.09,0.107
"Erlang",-0.05,0.54
"Go",0.08,0.219
"Haskell",-0.42,0
"Java",-0.02,0.674
"Javascript",0.02,0.44
"Objective-C",0.02,0.787
"Perl",0.03,0.442
"Php",-0.05,0.387
"Python",0.06,0.053
"Ruby",-0.09,0.068
"Scala",-0.21,0.002
"Typescript",0.21,0
