"","coef","pVal"
"Intercept",-1.88,0
"log age",0.04,0.048
"log size",0.03,0.022
"log devs",0.04,0.207
"log commits",1.02,0
"C",0.25,0
"C#",0.03,0.81
"C++",0.15,0.073
"Clojure",-0.28,0.022
"Coffeescript",-0.31,0.017
"Erlang",-0.19,0.098
"Go",0.29,0.002
"Haskell",-0.42,0
"Java",-0.03,0.792
"Javascript",-0.12,0.192
"Objective-C",0.37,0.04
"Perl",-0.22,0.038
"Php",0,1
"Python",0.15,0.032
"Ruby",-0.25,0.225
"Scala",-0.02,0.855
"Typescript",-0.09,0.601
