"","coef","pVal"
"Intercept",-2.96,0
"log age",0.18,0
"log devs",0.13,0
"log commits",1.05,0
"C",-0.02,0.61
"C#",0.07,0.263
"C++",0.08,0.055
"Clojure",-0.23,0.001
"Coffeescript",-0.1,0.093
"Erlang",-0.06,0.401
"Go",0.07,0.246
"Haskell",-0.42,0
"Java",-0.02,0.662
"Javascript",0.02,0.362
"Objective-C",0.04,0.491
"Perl",0.03,0.463
"Php",-0.04,0.391
"Python",0.06,0.039
"Ruby",-0.09,0.054
"Scala",-0.21,0.002
"Typescript",0.2,0
