"","coef","pVal"
"Intercept",-1.65,0
"log age",0.03,0.048
"log size",-0.04,0
"log devs",0.07,0
"log commits",1.06,0
"C",0.06,0.18
"C#",0.13,0.03
"C++",0.11,0.015
"Clojure",-0.17,0.014
"Coffeescript",-0.14,0.023
"Erlang",-0.08,0.249
"Go",0.13,0.023
"Haskell",-0.29,0
"Java",0.05,0.168
"Javascript",-0.04,0.11
"Objective-C",0.11,0.045
"Perl",0.04,0.398
"Php",0.01,0.878
"Python",-0.01,0.74
"Ruby",-0.21,0
"Scala",-0.01,0.812
"Typescript",0.16,0.001
