"","coef","pVal"
"Intercept",-1.69,0
"log age",0.04,0.059
"log size",-0.04,0
"log devs",0.11,0
"log commits",1.04,0
"C",0.12,0.007
"C#",0,0.99
"C++",0.16,0.002
"Clojure",-0.26,0
"Coffeescript",0.03,0.611
"Erlang",0.02,0.784
"Go",0.06,0.234
"Haskell",-0.16,0.012
"Java",0.02,0.727
"Javascript",-0.08,0.002
"Objective-C",0.11,0.057
"Perl",0.1,0.114
"Php",0.13,0.025
"Python",0.01,0.705
"Ruby",-0.26,0
"Scala",-0.17,0.008
"Typescript",0.24,0
