"","coef","pVal"
"Intercept",-2.52,0
"log age",0.09,0
"log size",-0.02,0.265
"log devs",0.14,0
"log commits",1.04,0
"C",0.14,0.168
"C#",-0.12,0.256
"C++",0.1,0.327
"Clojure",-0.25,0.02
"Coffeescript",0.04,0.669
"Erlang",0.15,0.148
"Go",0.12,0.243
"Haskell",-0.21,0.048
"Java",-0.01,0.953
"Javascript",0.06,0.553
"Objective-C",-0.12,0.259
"Perl",-0.02,0.865
"Php",0.17,0.093
"Python",0.12,0.242
"Ruby",0.05,0.662
"Scala",-0.31,0.005
"Typescript",0.07,0.518
