"","coef"
"Intercept",-2.79
"log age",0.19
"log size",-0.03
"log devs",0.11
"log commits",1.04
"C",0.15
"C++",0.04
"Clojure",0
"Coffeescript",0.07
"Erlang",-0.17
"Go",0.39
"Haskell",-0.13
"Java",-0.3
"Javascript",-0.01
"Objective-C",0.2
"Perl",-0.28
"Php",0.35
"Python",-0.21
"Ruby",-0.1
"Scala",-0.05
"Typescript",0.06
