"","coef"
"Intercept",-2.91
"log age",0.18
"log size",-0.02
"log devs",0.21
"log commits",1.02
"C",0.21
"C++",-0.25
"Clojure",-0.02
"Coffeescript",-0.16
"Erlang",0.01
"Go",0.2
"Haskell",-0.03
"Java",-0.19
"Javascript",0.33
"Objective-C",-0.21
"Perl",0.01
"Php",0.22
"Python",-0.11
"Ruby",-0.31
"Scala",0.16
"Typescript",0.12
