"","coef"
"Intercept",-2.29
"log age",0.1
"log size",-0.04
"log devs",0.21
"log commits",1.04
"C",0.26
"C++",0
"Clojure",-0.34
"Coffeescript",-0.02
"Erlang",0
"Go",0.12
"Haskell",-0.16
"Java",-0.16
"Javascript",0.32
"Objective-C",0.16
"Perl",-0.05
"Php",0.05
"Python",0.06
"Ruby",-0.28
"Scala",0.08
"Typescript",-0.03
