"","coef","pVal"
"Intercept",-2.48,0
"log age",0.08,0
"log size",-0.02,0.272
"log devs",0.12,0
"log commits",1.05,0
"C",0.11,0.263
"C#",-0.07,0.493
"C++",0.32,0.001
"Clojure",-0.27,0.011
"Coffeescript",0.34,0.001
"Erlang",-0.01,0.918
"Go",-0.06,0.539
"Haskell",-0.28,0.008
"Java",-0.11,0.273
"Javascript",-0.02,0.875
"Objective-C",0.22,0.026
"Perl",-0.09,0.351
"Php",0.28,0.005
"Python",0.11,0.267
"Ruby",-0.17,0.105
"Scala",-0.4,0
"Typescript",0.11,0.298
