"","coef","pVal"
"Intercept",-2.4,0
"log age",0.08,0
"log size",-0.02,0.123
"log devs",0.15,0
"log commits",1.03,0
"C",0.13,0.206
"C#",-0.1,0.351
"C++",0.1,0.315
"Clojure",-0.48,0
"Coffeescript",0.15,0.157
"Erlang",0.03,0.766
"Go",0.29,0.005
"Haskell",-0.21,0.048
"Java",-0.14,0.187
"Javascript",-0.02,0.828
"Objective-C",0.07,0.494
"Perl",0.17,0.113
"Php",0.05,0.611
"Python",0.03,0.806
"Ruby",0.01,0.905
"Scala",-0.1,0.372
"Typescript",0.03,0.758
