"","coef"
"Intercept",-2.24
"log age",0.12
"log size",-0.05
"log devs",0.15
"log commits",1.04
"C",0.05
"C++",0.01
"Clojure",-0.19
"Coffeescript",-0.02
"Erlang",0.12
"Go",0.29
"Haskell",0.1
"Java",-0.21
"Javascript",-0.17
"Objective-C",0.24
"Perl",-0.33
"Php",0.11
"Python",0.1
"Ruby",-0.16
"Scala",-0.1
"Typescript",0.16
