"","coef"
"Intercept",-2.28
"log age",0.14
"log size",-0.05
"log devs",0.29
"log commits",0.99
"C",0.32
"C++",0.24
"Clojure",-0.05
"Coffeescript",0.22
"Erlang",-0.38
"Go",0.2
"Haskell",-0.14
"Java",-0.28
"Javascript",-0.01
"Objective-C",0
"Perl",-0.09
"Php",-0.01
"Python",-0.32
"Ruby",0.02
"Scala",0.04
"Typescript",0.25
