"","coef","pVal"
"Intercept",-2.7,0
"log age",0.12,0
"log size",-0.01,0.72
"log devs",0.1,0.002
"log commits",1.03,0
"C",0.07,0.506
"C#",0.03,0.764
"C++",0.14,0.182
"Clojure",-0.45,0
"Coffeescript",0.05,0.612
"Erlang",0.2,0.061
"Go",0.08,0.462
"Haskell",-0.13,0.221
"Java",-0.16,0.154
"Javascript",-0.1,0.403
"Objective-C",-0.2,0.076
"Perl",0.21,0.043
"Php",0.08,0.433
"Python",0.12,0.252
"Ruby",0.04,0.714
"Scala",-0.21,0.055
"Typescript",0.23,0.037
