"","coef","pVal"
"Intercept",-2.5,0
"log age",0.07,0
"log size",-0.02,0.139
"log devs",0.11,0
"log commits",1.08,0
"C",0.06,0.538
"C#",-0.05,0.631
"C++",0.22,0.026
"Clojure",-0.28,0.008
"Coffeescript",0.01,0.951
"Erlang",0.37,0
"Go",0.13,0.166
"Haskell",-0.22,0.037
"Java",-0.03,0.749
"Javascript",0.01,0.903
"Objective-C",-0.13,0.2
"Perl",0.04,0.679
"Php",0.18,0.076
"Python",-0.03,0.755
"Ruby",-0.07,0.464
"Scala",-0.33,0.001
"Typescript",0.13,0.228
