"","coef","pVal"
"Intercept",-2.37,0
"log age",0.08,0
"log size",-0.03,0.017
"log devs",0.19,0
"log commits",1.04,0
"C",0.1,0.279
"C#",-0.05,0.649
"C++",0.24,0.013
"Clojure",0,0.992
"Coffeescript",0.26,0.006
"Erlang",0.26,0.005
"Go",0.2,0.039
"Haskell",-0.23,0.025
"Java",-0.13,0.184
"Javascript",-0.12,0.22
"Objective-C",-0.06,0.564
"Perl",-0.14,0.151
"Php",0.16,0.104
"Python",-0.11,0.238
"Ruby",-0.27,0.009
"Scala",-0.27,0.007
"Typescript",0.18,0.063
