"","coef","pVal"
"Intercept",-2.65,0
"log age",0.11,0
"log size",0,0.867
"log devs",0.14,0
"log commits",1.01,0
"C",0.21,0.037
"C#",-0.15,0.154
"C++",0.16,0.113
"Clojure",-0.38,0
"Coffeescript",0.17,0.085
"Erlang",0.01,0.953
"Go",0.13,0.171
"Haskell",-0.28,0.008
"Java",-0.07,0.499
"Javascript",-0.02,0.813
"Objective-C",0.03,0.803
"Perl",-0.06,0.558
"Php",0.1,0.318
"Python",0.14,0.162
"Ruby",-0.02,0.832
"Scala",-0.25,0.016
"Typescript",0.29,0.004
