"","coef"
"Intercept",-2.33
"log age",0.14
"log size",-0.06
"log devs",0.3
"log commits",1.02
"C",0.06
"C++",0.26
"Clojure",-0.08
"Coffeescript",-0.3
"Erlang",0.07
"Go",0.34
"Haskell",0.05
"Java",-0.23
"Javascript",-0.17
"Objective-C",0.2
"Perl",0
"Php",-0.06
"Python",0.02
"Ruby",-0.04
"Scala",-0.09
"Typescript",-0.03
