"","coef"
"Intercept",-1.97
"log age",0.08
"log size",-0.06
"log devs",0.26
"log commits",1.04
"C",0.28
"C++",0.1
"Clojure",-0.03
"Coffeescript",-0.19
"Erlang",-0.11
"Go",0
"Haskell",-0.17
"Java",-0.3
"Javascript",0.03
"Objective-C",-0.04
"Perl",0.06
"Php",0.07
"Python",0.17
"Ruby",-0.05
"Scala",-0.07
"Typescript",0.25
