"","coef","pVal"
"Intercept",-2.67,0
"log age",0.09,0
"log size",0.01,0.441
"log devs",0.09,0.009
"log commits",1.02,0
"C",0.15,0.154
"C#",-0.1,0.376
"C++",0.06,0.552
"Clojure",-0.2,0.064
"Coffeescript",0.01,0.953
"Erlang",0.21,0.039
"Go",0.11,0.308
"Haskell",-0.08,0.454
"Java",-0.18,0.096
"Javascript",0.12,0.26
"Objective-C",-0.07,0.492
"Perl",0.12,0.238
"Php",0.15,0.139
"Python",0.07,0.501
"Ruby",-0.24,0.027
"Scala",-0.22,0.037
"Typescript",0.1,0.343
