"","coef"
"Intercept",-2.22
"log age",0.12
"log size",-0.04
"log devs",0.18
"log commits",1.03
"C",0.14
"C++",0.2
"Clojure",-0.17
"Coffeescript",0.07
"Erlang",-0.1
"Go",0.09
"Haskell",-0.16
"Java",0
"Javascript",0
"Objective-C",0.16
"Perl",-0.09
"Php",0.06
"Python",0.09
"Ruby",-0.11
"Scala",-0.12
"Typescript",-0.05
