"","coef"
"Intercept",-2.72
"log age",0.16
"log size",0
"log devs",0.16
"log commits",0.99
"C",0.21
"C++",-0.13
"Clojure",-0.02
"Coffeescript",0.11
"Erlang",-0.21
"Go",0.13
"Haskell",-0.15
"Java",-0.2
"Javascript",-0.01
"Objective-C",0.06
"Perl",-0.15
"Php",0.04
"Python",-0.08
"Ruby",0.07
"Scala",0.2
"Typescript",0.14
