"","coef","pVal"
"Intercept",-2.51,0
"log age",0.09,0
"log size",-0.01,0.554
"log devs",0.08,0.017
"log commits",1.04,0
"C",0.15,0.157
"C#",-0.1,0.326
"C++",0.25,0.017
"Clojure",-0.27,0.014
"Coffeescript",0.25,0.016
"Erlang",0.08,0.435
"Go",0.18,0.071
"Haskell",-0.2,0.056
"Java",-0.09,0.376
"Javascript",-0.11,0.304
"Objective-C",0.02,0.837
"Perl",-0.07,0.51
"Php",-0.05,0.647
"Python",0.03,0.768
"Ruby",-0.1,0.368
"Scala",-0.21,0.043
"Typescript",0.24,0.021
