"","coef","pVal"
"Intercept",-2.53,0
"log age",0.1,0
"log size",0,0.758
"log devs",0.17,0
"log commits",0.99,0
"C",0.22,0.032
"C#",-0.06,0.562
"C++",0.14,0.164
"Clojure",-0.06,0.607
"Coffeescript",0.26,0.012
"Erlang",0.11,0.289
"Go",0.14,0.169
"Haskell",-0.32,0.002
"Java",-0.19,0.061
"Javascript",-0.1,0.365
"Objective-C",-0.24,0.028
"Perl",0.13,0.185
"Php",-0.01,0.925
"Python",0.13,0.217
"Ruby",-0.08,0.432
"Scala",-0.27,0.012
"Typescript",0.2,0.062
