"","coef"
"Intercept",-2.69
"log age",0.13
"log size",-0.01
"log devs",0.16
"log commits",1.03
"C",0.02
"C++",-0.07
"Clojure",-0.1
"Coffeescript",-0.02
"Erlang",0.21
"Go",0.1
"Haskell",0.02
"Java",-0.35
"Javascript",0.16
"Objective-C",0.27
"Perl",0.17
"Php",-0.15
"Python",-0.11
"Ruby",-0.14
"Scala",-0.19
"Typescript",0.19
