"","coef"
"Intercept",-2.73
"log age",0.18
"log size",-0.03
"log devs",0.11
"log commits",1.04
"C",0.19
"C++",-0.1
"Clojure",0.12
"Coffeescript",-0.17
"Erlang",0.04
"Go",0.19
"Haskell",-0.07
"Java",-0.36
"Javascript",0.11
"Objective-C",0.13
"Perl",-0.1
"Php",0.22
"Python",0.06
"Ruby",-0.39
"Scala",0.03
"Typescript",0.08
