"","coef","pVal"
"Intercept",-2.33,0
"log age",0.09,0
"log size",-0.03,0.042
"log devs",0.11,0.001
"log commits",1.04,0
"C",0.25,0.015
"C#",0.06,0.606
"C++",0.08,0.452
"Clojure",-0.24,0.029
"Coffeescript",0.16,0.119
"Erlang",0.15,0.151
"Go",0.1,0.346
"Haskell",-0.24,0.026
"Java",-0.19,0.089
"Javascript",-0.04,0.744
"Objective-C",-0.11,0.29
"Perl",0.11,0.256
"Php",-0.12,0.271
"Python",0.28,0.007
"Ruby",-0.28,0.01
"Scala",-0.22,0.04
"Typescript",0.24,0.022
