"","coef","pVal"
"Intercept",-2.57,0
"log age",0.09,0
"log size",-0.02,0.183
"log devs",0.15,0
"log commits",1.05,0
"C",0.24,0.017
"C#",-0.17,0.119
"C++",0.11,0.258
"Clojure",-0.22,0.033
"Coffeescript",0.22,0.025
"Erlang",0.08,0.422
"Go",0.13,0.189
"Haskell",-0.22,0.04
"Java",-0.09,0.376
"Javascript",-0.12,0.275
"Objective-C",-0.24,0.024
"Perl",0.22,0.027
"Php",0.17,0.091
"Python",-0.09,0.355
"Ruby",-0.22,0.045
"Scala",-0.07,0.476
"Typescript",0.26,0.012
