"","coef"
"Intercept",-2.23
"log age",0.11
"log size",-0.05
"log devs",0.24
"log commits",1.03
"C",0.03
"C++",-0.19
"Clojure",-0.06
"Coffeescript",-0.01
"Erlang",0.02
"Go",0.15
"Haskell",0.03
"Java",-0.41
"Javascript",0
"Objective-C",0.13
"Perl",0.29
"Php",0.12
"Python",-0.13
"Ruby",-0.11
"Scala",0.08
"Typescript",0.08
