"","coef"
"Intercept",-2.12
"log age",0.12
"log size",-0.06
"log devs",0.24
"log commits",1.01
"C",0.17
"C++",0.12
"Clojure",-0.34
"Coffeescript",0.02
"Erlang",-0.03
"Go",-0.05
"Haskell",-0.22
"Java",0.06
"Javascript",0.02
"Objective-C",-0.15
"Perl",0.22
"Php",0.11
"Python",0.02
"Ruby",-0.07
"Scala",-0.15
"Typescript",0.29
