"","coef","pVal"
"Intercept",-2.42,0
"log age",0.1,0
"log size",-0.05,0.002
"log devs",0.05,0.091
"log commits",1.11,0
"C",0.3,0.003
"C#",0.01,0.909
"C++",0.11,0.306
"Clojure",-0.44,0
"Coffeescript",0.08,0.415
"Erlang",0.14,0.171
"Go",0.28,0.005
"Haskell",-0.24,0.026
"Java",-0.18,0.092
"Javascript",-0.05,0.607
"Objective-C",-0.07,0.529
"Perl",-0.05,0.605
"Php",0.2,0.053
"Python",0.04,0.714
"Ruby",-0.27,0.015
"Scala",-0.05,0.625
"Typescript",0.19,0.08
