"","coef"
"Intercept",-2.48
"log age",0.14
"log size",-0.03
"log devs",0.15
"log commits",1.03
"C",0.02
"C++",0.04
"Clojure",-0.18
"Coffeescript",0.07
"Erlang",-0.12
"Go",-0.06
"Haskell",0.06
"Java",-0.02
"Javascript",-0.02
"Objective-C",0
"Perl",0.06
"Php",0.24
"Python",0.14
"Ruby",0.16
"Scala",-0.43
"Typescript",0.04
