"","coef","pVal"
"Intercept",-2.64,0
"log age",0.12,0
"log size",0,0.946
"log devs",0.06,0.072
"log commits",1.03,0
"C",0.01,0.946
"C#",-0.04,0.707
"C++",0.19,0.069
"Clojure",-0.24,0.038
"Coffeescript",0.34,0.002
"Erlang",0.25,0.016
"Go",0.06,0.627
"Haskell",-0.28,0.017
"Java",-0.1,0.368
"Javascript",-0.01,0.909
"Objective-C",-0.1,0.354
"Perl",0.02,0.856
"Php",0.03,0.784
"Python",0.11,0.309
"Ruby",-0.33,0.003
"Scala",-0.11,0.296
"Typescript",0.21,0.072
