"","coef"
"Intercept",-2.44
"log age",0.13
"log size",-0.02
"log devs",0.12
"log commits",1.02
"C",0.15
"C++",0.15
"Clojure",-0.38
"Coffeescript",0.19
"Erlang",-0.03
"Go",0.2
"Haskell",-0.37
"Java",-0.09
"Javascript",-0.1
"Objective-C",0.19
"Perl",-0.18
"Php",0.08
"Python",0.24
"Ruby",-0.06
"Scala",-0.19
"Typescript",0.2
