"","coef","pVal"
"Intercept",-2.4,0
"log age",0.07,0
"log size",-0.01,0.516
"log devs",0.08,0.015
"log commits",1.05,0
"C",0.29,0.004
"C#",0.08,0.422
"C++",0.18,0.071
"Clojure",-0.29,0.009
"Coffeescript",0.19,0.058
"Erlang",-0.09,0.377
"Go",-0.02,0.859
"Haskell",-0.42,0
"Java",-0.13,0.233
"Javascript",0.01,0.961
"Objective-C",0.05,0.658
"Perl",0.14,0.185
"Php",0.22,0.028
"Python",-0.06,0.586
"Ruby",-0.45,0
"Scala",0.04,0.725
"Typescript",0.26,0.016
